date,publish_date,equity_pcr,equity_pcr_pctl,is_proxy,source
2021-12-21,2021-12-21,0.7152,67.46,True,vix_derived_proxy
2021-12-22,2021-12-22,0.6794,46.63,True,vix_derived_proxy
2021-12-23,2021-12-23,0.6694,39.88,True,vix_derived_proxy
2021-12-27,2021-12-27,0.6652,34.92,True,vix_derived_proxy
2021-12-28,2021-12-28,0.6631,32.54,True,vix_derived_proxy
2021-12-29,2021-12-29,0.6543,24.4,True,vix_derived_proxy
2021-12-30,2021-12-30,0.6599,31.35,True,vix_derived_proxy
2021-12-31,2021-12-31,0.6583,29.37,True,vix_derived_proxy
2022-01-03,2022-01-03,0.649,19.84,True,vix_derived_proxy
2022-01-04,2022-01-04,0.6536,24.4,True,vix_derived_proxy
2022-01-05,2022-01-05,0.6959,62.5,True,vix_derived_proxy
2022-01-06,2022-01-06,0.6942,61.31,True,vix_derived_proxy
2022-01-07,2022-01-07,0.6814,52.98,True,vix_derived_proxy
2022-01-10,2022-01-10,0.691,59.72,True,vix_derived_proxy
2022-01-11,2022-01-11,0.6761,48.02,True,vix_derived_proxy
2022-01-12,2022-01-12,0.6643,36.51,True,vix_derived_proxy
2022-01-13,2022-01-13,0.7046,68.85,True,vix_derived_proxy
2022-01-14,2022-01-14,0.6879,58.33,True,vix_derived_proxy
2022-01-18,2022-01-18,0.7419,86.51,True,vix_derived_proxy
2022-01-19,2022-01-19,0.7578,91.27,True,vix_derived_proxy
2022-01-20,2022-01-20,0.7839,93.65,True,vix_derived_proxy
2022-01-21,2022-01-21,0.8328,97.22,True,vix_derived_proxy
2022-01-24,2022-01-24,0.8485,97.62,True,vix_derived_proxy
2022-01-25,2022-01-25,0.8674,99.21,True,vix_derived_proxy
2022-01-26,2022-01-26,0.8794,99.6,True,vix_derived_proxy
2022-01-27,2022-01-27,0.8573,98.02,True,vix_derived_proxy
2022-01-28,2022-01-28,0.8149,94.84,True,vix_derived_proxy
2022-01-31,2022-01-31,0.7724,91.67,True,vix_derived_proxy
2022-02-01,2022-02-01,0.7294,82.54,True,vix_derived_proxy
2022-02-02,2022-02-02,0.7314,83.73,True,vix_derived_proxy
2022-02-03,2022-02-03,0.7653,90.87,True,vix_derived_proxy
2022-02-04,2022-02-04,0.7483,88.1,True,vix_derived_proxy
2022-02-07,2022-02-07,0.7429,85.32,True,vix_derived_proxy
2022-02-08,2022-02-08,0.7216,76.59,True,vix_derived_proxy
2022-02-09,2022-02-09,0.6994,67.06,True,vix_derived_proxy
2022-02-10,2022-02-10,0.7586,89.68,True,vix_derived_proxy
2022-02-11,2022-02-11,0.8104,94.44,True,vix_derived_proxy
2022-02-14,2022-02-14,0.8249,96.03,True,vix_derived_proxy
2022-02-15,2022-02-15,0.7855,92.06,True,vix_derived_proxy
2022-02-16,2022-02-16,0.7644,89.29,True,vix_derived_proxy
2022-02-17,2022-02-17,0.8217,95.63,True,vix_derived_proxy
2022-02-18,2022-02-18,0.8162,94.44,True,vix_derived_proxy
2022-02-22,2022-02-22,0.8321,96.83,True,vix_derived_proxy
2022-02-23,2022-02-23,0.8653,98.81,True,vix_derived_proxy
2022-02-24,2022-02-24,0.8548,97.62,True,vix_derived_proxy
2022-02-25,2022-02-25,0.8139,93.06,True,vix_derived_proxy
2022-02-28,2022-02-28,0.8522,97.22,True,vix_derived_proxy
2022-03-01,2022-03-01,0.8998,100.0,True,vix_derived_proxy
2022-03-02,2022-03-02,0.8611,98.02,True,vix_derived_proxy
2022-03-03,2022-03-03,0.8572,96.83,True,vix_derived_proxy
2022-03-04,2022-03-04,0.8797,99.6,True,vix_derived_proxy
2022-03-07,2022-03-07,0.9468,100.0,True,vix_derived_proxy
2022-03-08,2022-03-08,0.927,99.6,True,vix_derived_proxy
2022-03-09,2022-03-09,0.8868,98.81,True,vix_derived_proxy
2022-03-10,2022-03-10,0.8534,94.44,True,vix_derived_proxy
2022-03-11,2022-03-11,0.8612,96.43,True,vix_derived_proxy
2022-03-14,2022-03-14,0.8766,97.62,True,vix_derived_proxy
2022-03-15,2022-03-15,0.8474,92.46,True,vix_derived_proxy
2022-03-16,2022-03-16,0.8001,86.9,True,vix_derived_proxy
2022-03-17,2022-03-17,0.7851,85.71,True,vix_derived_proxy
2022-03-18,2022-03-18,0.7581,82.94,True,vix_derived_proxy
2022-03-21,2022-03-21,0.753,82.14,True,vix_derived_proxy
2022-03-22,2022-03-22,0.7441,79.37,True,vix_derived_proxy
2022-03-23,2022-03-23,0.7535,82.14,True,vix_derived_proxy
2022-03-24,2022-03-24,0.7251,74.01,True,vix_derived_proxy
2022-03-25,2022-03-25,0.7121,68.85,True,vix_derived_proxy
2022-03-28,2022-03-28,0.6944,62.7,True,vix_derived_proxy
2022-03-29,2022-03-29,0.6835,56.35,True,vix_derived_proxy
2022-03-30,2022-03-30,0.6899,58.73,True,vix_derived_proxy
2022-03-31,2022-03-31,0.7084,67.06,True,vix_derived_proxy
2022-04-01,2022-04-01,0.6944,62.1,True,vix_derived_proxy
2022-04-04,2022-04-04,0.6785,48.41,True,vix_derived_proxy
2022-04-05,2022-04-05,0.7155,70.63,True,vix_derived_proxy
2022-04-06,2022-04-06,0.7315,76.19,True,vix_derived_proxy
2022-04-07,2022-04-07,0.7232,71.83,True,vix_derived_proxy
2022-04-08,2022-04-08,0.7174,70.24,True,vix_derived_proxy
2022-04-11,2022-04-11,0.7656,84.52,True,vix_derived_proxy
2022-04-12,2022-04-12,0.7639,82.94,True,vix_derived_proxy
2022-04-13,2022-04-13,0.7273,73.02,True,vix_derived_proxy
2022-04-14,2022-04-14,0.7405,76.59,True,vix_derived_proxy
2022-04-18,2022-04-18,0.7326,75.0,True,vix_derived_proxy
2022-04-19,2022-04-19,0.7206,69.05,True,vix_derived_proxy
2022-04-20,2022-04-20,0.7048,62.7,True,vix_derived_proxy
2022-04-21,2022-04-21,0.7402,76.19,True,vix_derived_proxy
2022-04-22,2022-04-22,0.8231,90.48,True,vix_derived_proxy
2022-04-25,2022-04-25,0.8053,86.51,True,vix_derived_proxy
2022-04-26,2022-04-26,0.9028,99.21,True,vix_derived_proxy
2022-04-27,2022-04-27,0.874,96.83,True,vix_derived_proxy
2022-04-28,2022-04-28,0.8498,92.06,True,vix_derived_proxy
2022-04-29,2022-04-29,0.901,98.81,True,vix_derived_proxy
2022-05-02,2022-05-02,0.8851,97.62,True,vix_derived_proxy
2022-05-03,2022-05-03,0.8388,90.08,True,vix_derived_proxy
2022-05-04,2022-05-04,0.7813,81.75,True,vix_derived_proxy
2022-05-05,2022-05-05,0.868,95.63,True,vix_derived_proxy
2022-05-06,2022-05-06,0.8529,91.27,True,vix_derived_proxy
2022-05-09,2022-05-09,0.9212,99.21,True,vix_derived_proxy
2022-05-10,2022-05-10,0.8949,97.62,True,vix_derived_proxy
2022-05-11,2022-05-11,0.8884,97.22,True,vix_derived_proxy
2022-05-12,2022-05-12,0.8766,95.04,True,vix_derived_proxy
2022-05-13,2022-05-13,0.8331,87.3,True,vix_derived_proxy
2022-05-16,2022-05-16,0.812,82.94,True,vix_derived_proxy
2022-05-17,2022-05-17,0.7915,80.56,True,vix_derived_proxy
2022-05-18,2022-05-18,0.8644,92.46,True,vix_derived_proxy
2022-05-19,2022-05-19,0.8403,87.3,True,vix_derived_proxy
2022-05-20,2022-05-20,0.8415,87.3,True,vix_derived_proxy
2022-05-23,2022-05-23,0.8272,84.52,True,vix_derived_proxy
2022-05-24,2022-05-24,0.8418,87.3,True,vix_derived_proxy
2022-05-25,2022-05-25,0.8256,83.73,True,vix_derived_proxy
2022-05-26,2022-05-26,0.8125,80.56,True,vix_derived_proxy
2022-05-27,2022-05-27,0.7858,77.38,True,vix_derived_proxy
2022-05-31,2022-05-31,0.7929,77.78,True,vix_derived_proxy
2022-06-01,2022-06-01,0.7854,75.79,True,vix_derived_proxy
2022-06-02,2022-06-02,0.7708,73.81,True,vix_derived_proxy
2022-06-03,2022-06-03,0.7719,73.81,True,vix_derived_proxy
2022-06-06,2022-06-06,0.776,74.21,True,vix_derived_proxy
2022-06-07,2022-06-07,0.7603,70.63,True,vix_derived_proxy
2022-06-08,2022-06-08,0.7594,70.24,True,vix_derived_proxy
2022-06-09,2022-06-09,0.7914,76.98,True,vix_derived_proxy
2022-06-10,2022-06-10,0.8162,81.55,True,vix_derived_proxy
2022-06-13,2022-06-13,0.9103,98.81,True,vix_derived_proxy
2022-06-14,2022-06-14,0.8903,96.83,True,vix_derived_proxy
2022-06-15,2022-06-15,0.8443,86.51,True,vix_derived_proxy
2022-06-16,2022-06-16,0.8943,96.83,True,vix_derived_proxy
2022-06-17,2022-06-17,0.8669,92.06,True,vix_derived_proxy
2022-06-21,2022-06-21,0.8529,87.5,True,vix_derived_proxy
2022-06-22,2022-06-22,0.8343,83.33,True,vix_derived_proxy
2022-06-23,2022-06-23,0.8357,83.33,True,vix_derived_proxy
2022-06-24,2022-06-24,0.8084,75.79,True,vix_derived_proxy
2022-06-27,2022-06-27,0.8043,74.21,True,vix_derived_proxy
2022-06-28,2022-06-28,0.8254,80.16,True,vix_derived_proxy
2022-06-29,2022-06-29,0.8224,78.97,True,vix_derived_proxy
2022-06-30,2022-06-30,0.8306,81.35,True,vix_derived_proxy
2022-07-01,2022-07-01,0.8005,72.62,True,vix_derived_proxy
2022-07-05,2022-07-05,0.8131,75.79,True,vix_derived_proxy
2022-07-06,2022-07-06,0.8009,72.22,True,vix_derived_proxy
2022-07-07,2022-07-07,0.7912,69.84,True,vix_derived_proxy
2022-07-08,2022-07-08,0.7696,65.08,True,vix_derived_proxy
2022-07-11,2022-07-11,0.7926,70.63,True,vix_derived_proxy
2022-07-12,2022-07-12,0.8094,74.21,True,vix_derived_proxy
2022-07-13,2022-07-13,0.8023,71.83,True,vix_derived_proxy
2022-07-14,2022-07-14,0.796,70.24,True,vix_derived_proxy
2022-07-15,2022-07-15,0.7634,61.11,True,vix_derived_proxy
2022-07-18,2022-07-18,0.7795,65.08,True,vix_derived_proxy
2022-07-19,2022-07-19,0.7675,62.7,True,vix_derived_proxy
2022-07-20,2022-07-20,0.7582,58.73,True,vix_derived_proxy
2022-07-21,2022-07-21,0.7467,55.56,True,vix_derived_proxy
2022-07-22,2022-07-22,0.7455,55.16,True,vix_derived_proxy
2022-07-25,2022-07-25,0.7504,56.75,True,vix_derived_proxy
2022-07-26,2022-07-26,0.7704,63.1,True,vix_derived_proxy
2022-07-27,2022-07-27,0.7486,55.56,True,vix_derived_proxy
2022-07-28,2022-07-28,0.7349,50.0,True,vix_derived_proxy
2022-07-29,2022-07-29,0.7199,43.65,True,vix_derived_proxy
2022-08-01,2022-08-01,0.7426,51.59,True,vix_derived_proxy
2022-08-02,2022-08-02,0.759,58.73,True,vix_derived_proxy
2022-08-03,2022-08-03,0.7293,47.22,True,vix_derived_proxy
2022-08-04,2022-08-04,0.7216,43.06,True,vix_derived_proxy
2022-08-05,2022-08-05,0.7172,40.87,True,vix_derived_proxy
2022-08-08,2022-08-08,0.7194,41.27,True,vix_derived_proxy
2022-08-09,2022-08-09,0.7266,45.63,True,vix_derived_proxy
2022-08-10,2022-08-10,0.6961,32.94,True,vix_derived_proxy
2022-08-11,2022-08-11,0.703,34.52,True,vix_derived_proxy
2022-08-12,2022-08-12,0.693,30.16,True,vix_derived_proxy
2022-08-15,2022-08-15,0.6993,33.33,True,vix_derived_proxy
2022-08-16,2022-08-16,0.6954,31.35,True,vix_derived_proxy
2022-08-17,2022-08-17,0.6985,32.74,True,vix_derived_proxy
2022-08-18,2022-08-18,0.6934,29.76,True,vix_derived_proxy
2022-08-19,2022-08-19,0.709,37.3,True,vix_derived_proxy
2022-08-22,2022-08-22,0.757,56.75,True,vix_derived_proxy
2022-08-23,2022-08-23,0.7617,59.52,True,vix_derived_proxy
2022-08-24,2022-08-24,0.7423,50.0,True,vix_derived_proxy
2022-08-25,2022-08-25,0.7267,44.44,True,vix_derived_proxy
2022-08-26,2022-08-26,0.7834,65.48,True,vix_derived_proxy
2022-08-29,2022-08-29,0.7931,69.84,True,vix_derived_proxy
2022-08-30,2022-08-30,0.7931,69.64,True,vix_derived_proxy
2022-08-31,2022-08-31,0.7881,67.06,True,vix_derived_proxy
2022-09-01,2022-09-01,0.7834,64.09,True,vix_derived_proxy
2022-09-02,2022-09-02,0.782,63.49,True,vix_derived_proxy
2022-09-06,2022-09-06,0.8036,71.83,True,vix_derived_proxy
